"engine.time","calcium.Ca_i"
 1.01783726138316325e+02, 2.07739571029804656e-04
 1.01818293766865352e+02, 2.07739519650821666e-04
 1.01852861395414379e+02, 2.07739539476036649e-04
 1.01887429023963406e+02, 2.07739643918836245e-04
 1.01921996652512433e+02, 2.07739850171736638e-04
 1.01956564281061461e+02, 2.07740180566018666e-04
 1.01991131909610488e+02, 2.07740662603500428e-04
 1.02008522509830982e+02, 2.07740969435604668e-04
 1.02025913110051476e+02, 2.07741328447077697e-04
 1.02043303710271971e+02, 2.07741746864319036e-04
 1.02060694310492465e+02, 2.07742232218421376e-04
 1.02078084910712960e+02, 2.07742794249312875e-04
 1.02095475510933454e+02, 2.07743444198075383e-04
 1.02112866111153949e+02, 2.07744194728317857e-04
 1.02130256711374443e+02, 2.07745060224974568e-04
 1.02147647311594937e+02, 2.07746056967144190e-04
 1.02156976133946102e+02, 2.07746649096916271e-04
 1.02166304956297267e+02, 2.07747285431830178e-04
 1.02175633778648432e+02, 2.07747969237223129e-04
 1.02184962600999597e+02, 2.07748703949196166e-04
 1.02194291423350762e+02, 2.07749493075118867e-04
 1.02212728442893493e+02, 2.07751227141887625e-04
 1.02231165462436223e+02, 2.07753212339402004e-04
 1.02249602481978954e+02, 2.07755474556654585e-04
 1.02268039501521685e+02, 2.07758038455342560e-04
 1.02286476521064415e+02, 2.07760925545294217e-04
 1.02304913540607146e+02, 2.07764154276493014e-04
 1.02323350560149876e+02, 2.07767740066962443e-04
 1.02341787579692607e+02, 2.07771694850708154e-04
 1.02360224599235337e+02, 2.07776026676988862e-04
 1.02378661618778068e+02, 2.07780739821367057e-04
 1.02397098638320799e+02, 2.07785835311321730e-04
 1.02415535657863529e+02, 2.07791311549578023e-04
 1.02433972677406260e+02, 2.07797164857894713e-04
 1.02452409696948990e+02, 2.07803389924272289e-04
 1.02481176922705046e+02, 2.07813829130469330e-04
 1.02509944148461102e+02, 2.07825127694462178e-04
 1.02538711374217158e+02, 2.07837254667112562e-04
 1.02567478599973214e+02, 2.07850176479092825e-04
 1.02596245825729270e+02, 2.07863856700726254e-04
 1.02625013051485325e+02, 2.07878257811987217e-04
 1.02653780277241381e+02, 2.07893342370690510e-04
 1.02682547502997437e+02, 2.07909073196164561e-04
 1.02727829948032976e+02, 2.07935053997061780e-04
 1.02773112393068516e+02, 2.07962400379058668e-04
 1.02818394838104055e+02, 2.07990974876081004e-04
 1.02863677283139594e+02, 2.08020643974963013e-04
 1.02941602421750744e+02, 2.08073886395949124e-04
 1.03019527560361894e+02, 2.08129359661648810e-04
 1.03073452553580509e+02, 2.08168756326188530e-04
 1.03127377546799124e+02, 2.08208792733294057e-04
 1.03181302540017739e+02, 2.08249325859282758e-04
 1.03235227533236355e+02, 2.08290224877442676e-04
 1.03289152526454970e+02, 2.08331373268118042e-04
 1.03343077519673585e+02, 2.08372670117501084e-04
 1.03397002512892200e+02, 2.08414028556555206e-04
 1.03450927506110816e+02, 2.08455374293650323e-04
 1.03504852499329431e+02, 2.08496644815164036e-04
 1.03591259286244536e+02, 2.08562490001605046e-04
 1.03677666073159642e+02, 2.08627842507133767e-04
 1.03764072860074748e+02, 2.08692584817561877e-04
 1.03850479646989854e+02, 2.08756639388011278e-04
 1.03936886433904959e+02, 2.08819958698536852e-04
 1.04023293220820065e+02, 2.08882519157186584e-04
 1.04153626497396942e+02, 2.08975441576450749e-04
 1.04283959773973820e+02, 2.09066678736422176e-04
 1.04414293050550697e+02, 2.09156327791815231e-04
 1.04544626327127574e+02, 2.09244514364271774e-04
 1.04674959603704451e+02, 2.09331380966196434e-04
 1.04805292880281328e+02, 2.09417073916271261e-04
 1.04935626156858206e+02, 2.09501737876257313e-04
 1.05000000000000000e+02, 2.09543218482752041e-04
 1.05007978525521850e+02, 2.09548362015169490e-04
 1.05015957051043699e+02, 2.09553535388721547e-04
 1.05028424673382574e+02, 2.09561683061671008e-04
 1.05040892295721449e+02, 2.09569931503894309e-04
 1.05067674652541754e+02, 2.09588069081934617e-04
 1.05094457009362060e+02, 2.09606774342103417e-04
 1.05138468227853664e+02, 2.09638695719880009e-04
 1.05182479446345269e+02, 2.09672006847337524e-04
 1.05226490664836874e+02, 2.09706613881903713e-04
 1.05321715497271015e+02, 2.09785537473487820e-04
 1.05416940329705156e+02, 2.09869605316979489e-04
 1.05512165162139297e+02, 2.09958419682217443e-04
 1.05692083788701609e+02, 2.10138439544455344e-04
 1.05872002415263921e+02, 2.10333650034182345e-04
 1.06051921041826233e+02, 2.10543686475448067e-04
 1.06231839668388545e+02, 2.10768462454700523e-04
 1.06411758294950857e+02, 2.11007872544255958e-04
 1.06591676921513169e+02, 2.11261696524995499e-04
 1.06771595548075481e+02, 2.11529599852147595e-04
 1.07067516349173346e+02, 2.11999668361488564e-04
 1.07363437150271210e+02, 2.12504365362705040e-04
 1.07659357951369074e+02, 2.13041160953023230e-04
 1.07955278752466938e+02, 2.13607350542758547e-04
 1.08251199553564803e+02, 2.14200223090887346e-04
 1.08547120354662667e+02, 2.14817274902433269e-04
 1.08843041155760531e+02, 2.15456357748261426e-04
 1.09138961956858395e+02, 2.16115691762874888e-04
 1.09588916011458863e+02, 2.17154045803556153e-04
 1.10038870066059332e+02, 2.18233167685577361e-04
 1.10488824120659800e+02, 2.19352399176712596e-04
 1.10938778175260268e+02, 2.20512888536085493e-04
 1.11388732229860736e+02, 2.21717013684019377e-04
 1.11838686284461204e+02, 2.22968870516053919e-04
 1.12288640339061672e+02, 2.24274465838207609e-04
 1.12738594393662140e+02, 2.25639950977673994e-04
 1.13188548448262608e+02, 2.27071122826156874e-04
 1.13638502502863076e+02, 2.28576416923974784e-04
 1.14088456557463545e+02, 2.30165608195400783e-04
 1.14538410612064013e+02, 2.31846163170220542e-04
 1.14988364666664481e+02, 2.33626803888366616e-04
